title,description,steps_to_reproduce,expected,actual,severity,component,status
"Mentor dashboard earnings/analytics bucket every session into 'today' due to malformed date parsing","MentorDashboard.jsx's parseSessionDate concatenates an ISO datetime string with a time-range string ('2026-08-01T14:00:00.000Z 02:00 PM - 03:00 PM'), producing an Invalid Date. The code then falls back to session.createdAt, which is never actually set on the mapped session objects, so it falls back again to Date.now() for every session.","As a mentor with historical sessions, open the Earnings tab or Sessions Analytics sub-tab and filter by a past week/month/year.","Sessions filtered and charted by their real scheduledDate.","Every session is bucketed into the current day, so filtering to any past period shows zero sessions even when real ones exist; Revenue Trend/Monthly Breakdown and the CSV export are all corrupted the same way. (MenteeDashboard.jsx does this correctly — the fix wasn't copied over.)","High","Frontend","Open"
"GET /api/reviews/:id has no visibility or ownership check, bypassing moderation","listReviews correctly filters {isVisible:true, flagged:false} for public browsing, but getReview(id) (services/reviewService.js:92-96) applies no such filter, and the route only uses optionalAuth (no login required at all).","Obtain any review's ObjectId (e.g. one an admin has since hidden/flagged), GET /api/reviews/:id as a guest or unrelated user.","A flagged/hidden review, or another user's private non-anonymous review, should not be readable this way.","The review is returned in full regardless of visibility/flag state or who's asking.","Medium","Backend-API","Open"
"CV-upload validation errors return an inconsistent response shape and the wrong HTTP status","multer's fileFilter/file-size-limit errors in middleware/cvUpload.js fire before cvController's own try/catch, so they skip its {error:'...'} response format and fall through to the global error handler, which returns {success:false, message} with a default 500 instead of 400.","POST a non-PDF file, or a PDF over 5MB, to /api/mentors/:mentorId/cv.","A consistent 400 response with a clear client-error message.","500 Internal Server Error, and a different JSON shape than the same endpoint's other error paths.","Medium","Backend-API","Open"
"Two-column PDF text-extraction heuristic corrupts single-column resumes","services/pdfTextService.js unconditionally splits every page into a left/right column by horizontal midpoint and concatenates left-then-right. Any single-column resume with right-aligned dates (a very common layout) gets those dates pulled out of each job entry and dumped together at the end of the page.","Upload a single-column resume with a 'Job Title, Company ......... right-aligned dates' line pattern.","Text extracted in natural reading order, dates staying associated with their job entry.","Dates are disconnected from their company/title, degrading the CV parser's workExperience extraction for a large share of real-world resumes.","Medium","AI-Service","Open"
"Rag_Chatbot reads FRONTEND_ORIGIN but .env only defines FRONTEND_URL — CORS allowlist silently stale","backend/Rag_Chatbot/app/core/config.py reads os.getenv('FRONTEND_ORIGIN', 'http://localhost:5173'); no FRONTEND_ORIGIN key exists anywhere in backend/.env (only FRONTEND_URL, which the Node backend correctly reads). Works today only because the hardcoded fallback happens to match localhost dev.","Deploy with a real (non-localhost) FRONTEND_URL configured in .env, and inspect the chatbot's CORS allowlist.","The chatbot's CORS allowlist includes the real deployed frontend origin.","The allowlist silently keeps using the stale localhost:5173 default, and the deployed frontend's chat requests get rejected by CORS.","Medium","AI-Service","Open"
"Deleting a Session doesn't clean up its linked Payment or Review","sessionService.deleteSession() frees the AvailabilitySlot correctly but never deletes or unlinks the Payment (unique index on sessionId) or Review (unique index on sessionId) pointing at it. Contrast with reviewService.deleteReview(), which does correctly null out Session.reviewId.","As a participant, DELETE /api/sessions/:id for a session that already has a Payment and/or Review.","Dependent Payment/Review records are cleaned up or clearly flagged as orphaned.","Payment/Review records become permanently orphaned, with sessionId pointing at nothing, breaking financial reconciliation.","Medium","Database","Open"
"mentee_experience_years is always 0 for every AI-interview-sourced mentee profile","Mentor_Mentee_Match/datacleaning.py's encode_experience_level only recognizes 'entry'/'mid'/'senior' substrings, but the AI interview's system prompt (and the schema enum) only ever emits 'beginner'/'intermediate'/'advanced'.","Complete the AI mentee interview and inspect the resulting Mentee_Profiles document's mentee_experience_years field.","A real numeric experience-years value derived from the mentee's stated experience level.","Always 0, for every single interview-sourced profile, silently degrading the mentor-matching experience filter for 100% of mentees.","Medium","Database","Open"
"hourlyRate has no min bound, unlike its sibling field pricePerSession","MentorProfile.js: hourlyRate has no schema-level bound, while pricePerSession (used for the exact same purpose) has min:0.","PATCH /api/mentor-profiles/me with {hourlyRate: -100} as the owning mentor.","Rejected by schema validation, matching pricePerSession's behavior.","Succeeds, producing a negative price that sorts/displays incorrectly in mentor listings.","Medium","Database","Open"
"Raw ISO timestamps shown to users instead of formatted dates in dashboards","5 render locations across MentorDashboard.jsx (lines ~749, ~1245, ~1526) and MenteeDashboard.jsx (~750, ~1874) display the raw backend ISO datetime string directly instead of the already-computed human-readable date field used everywhere else in the same components.","As a mentor or mentee with an upcoming/pending session, view the dashboard's Upcoming Sessions, the Sessions tab table, or a session detail/notes modal.","A readable date like 'Aug 1, 2026'.","A raw string like '2026-08-01T14:00:00.000Z' is shown to the user.","Medium","Frontend","Open"
"Resuming a pending-payment booking can silently swap or blank the displayed time slot","Booking.jsx's mentor.id effect re-fetches only status:available slots (excluding the mentee's own already-booked slot), and the auto-select effect then overwrites the correct selectedSlot with a different available slot (or null) because the real booked slot isn't in that 'available' list.","Book a session (creating it as pending), leave without paying, then return via 'Complete Payment' from the dashboard.","The payment screen shows the originally booked time slot.","The booking summary shows a different time than the session actually being paid for, or '—' for time (the underlying charge/session record is still correct, but the confirmation shown to the user is wrong).","Medium","Frontend","Open"
"Leaked duplicate session countdown timer in the video call lobby","VideoInterview.jsx calls calculateTimeRemaining(data) directly inside a fetch .then() rather than inside a useEffect; its internal setInterval's cleanup function is created but never invoked since it isn't returned from a useEffect. A second, correctly-written useEffect runs an identical timer alongside it.","Open /video-interview/:sessionId, then navigate away or close the tab before the session ends.","The countdown interval is cleared on unmount.","An orphaned setInterval keeps firing every second until the session's scheduled end time, even after the component unmounts; repeated visits stack up more leaked intervals.","Medium","Frontend","Open"
"clearAllSlots leaves the UI out of sync with the backend on partial failure","AvailabilityScheduler.jsx's clearAllSlots fires all deletes concurrently via Promise.all; if any one slot is already booked (409 from the backend), Promise.all rejects immediately even though the OTHER deletes already succeeded server-side, and local state is never updated to remove them.","As a mentor with 2+ slots on a day (at least one already booked), click 'Clear all slots for this day.'","Slots that were actually deleted disappear from the UI; a clear message indicates which slot(s) blocked the rest.","Successfully-deleted slots keep showing as still configured until the next full page refetch; the error message doesn't say which slots succeeded.","Medium","Frontend","Open"
"A pending/rejected mentor's profile is readable by any authenticated stranger","mentorService.getMentorProfile() (used by GET /api/mentor-profiles/:id) has no status/visibility check at all — TC-MPROFILE-004 in the QA test case CSV describes the intended 403 for a non-owner, non-admin viewer, which is not implemented.","As any logged-in mentee/mentor, GET /api/mentor-profiles/:id for a mentor profile whose status is pending or rejected.","403 'This profile is not public.'","200 — the full profile (including fields not meant to be public yet) is returned.","Medium","Backend-API","Open"
"A mentor can self-escalate their own status, or edit any other mentor's profile, via mentor-profiles endpoints","POST /api/mentor-profiles and PATCH /api/mentor-profiles/:id (mentorService.js createMentorProfile/updateMentorProfile) accept arbitrary body fields with no whitelist (status/isApproved/averageRating included), and PATCH has no ownership check at all — any mentor/admin caller can edit any mentor profile by id.","As a mentor, POST /api/mentor-profiles with {status:'approved'}, or PATCH another mentor's profile id with {bio:'hijacked'}.","status/isApproved/averageRating should be admin-only fields; PATCH should be restricted to the profile's own owner (or an admin).","Both requests succeed — a mentor can self-approve, and any mentor can edit any other mentor's profile document.","Medium","Backend-API","Open"
"Rag_Chatbot's known-email field is never forwarded to escalation handlers","agent/orchestrator.py's route(session_id, message, email) accepts an email parameter but never passes it to handler(session_id, message) — every escalation-triggering tool (escalate_complaint, handle_abusive_message, answer_faq's unanswered-FAQ path) always sees email=None on the first turn, even when the frontend already sent a known email.","POST /chat with a complaint-style message and email already set to a known address in the request body.","The escalation should finalize immediately (post to Slack, save as notified) since the email is already known.","The reply still asks the user to share their email, identical to a user with no known email at all — the field has zero effect on behavior.","Medium","AI-Service","Open"
"AI_interviewer reads MONGO_DB_NAME but .env defines MONGODB_DB_NAME","backend/AI_interviewer/core/config.py reads os.getenv('MONGO_DB_NAME', 'Prolign'), but backend/.env defines MONGODB_DB_NAME — the names don't match, so the env var is silently ignored and the hardcoded 'Prolign' default is always used.","Set MONGODB_DB_NAME in .env to a different database name and restart AI_interviewer.","The service connects to the configured database.","The service always connects to 'Prolign' regardless of what MONGODB_DB_NAME is set to (harmless today only because that default happens to be correct).","Medium","Database","Open"
"Broken avatar images in Admin views for users with no profile photo","AdminDashboard.jsx's normalizeAdminUser sets avatar:'' when no photo exists, and the Members table, Applications list, and member-detail modal all render <img src={...avatar}> with no fallback — every other avatar usage in the app falls back to a ui-avatars.com/initials placeholder.","As an admin, view the Members list, Applications (pending mentor) list, or a member-detail modal for any user without a profile photo.","A placeholder avatar (initials or ui-avatars.com), matching every other avatar in the app.","A broken image icon.","Low","Frontend","Open"
